PR ID,Repository,Instance ID
astropy_astropy_astropy__astropy-13398,astropy/astropy,astropy__astropy-13398
django_django_django__django-12774,django/django,django__django-12774
django_django_django__django-14752,django/django,django__django-14752
django_django_django__django-15103,django/django,django__django-15103
matplotlib_matplotlib_matplotlib__matplotlib-24870,matplotlib/matplotlib,matplotlib__matplotlib-24870
pylint-dev_pylint_pylint-dev__pylint-4551,pylint-dev/pylint,pylint-dev__pylint-4551
scikit-learn_scikit-learn_scikit-learn__scikit-learn-25102,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25102
scikit-learn_scikit-learn_scikit-learn__scikit-learn-14983,scikit-learn/scikit-learn,scikit-learn__scikit-learn-14983
scikit-learn_scikit-learn_scikit-learn__scikit-learn-14710,scikit-learn/scikit-learn,scikit-learn__scikit-learn-14710
sympy_sympy_sympy__sympy-13878,sympy/sympy,sympy__sympy-13878
sympy_sympy_sympy__sympy-16597,sympy/sympy,sympy__sympy-16597
sympy_sympy_sympy__sympy-18199,sympy/sympy,sympy__sympy-18199
sympy_sympy_sympy__sympy-20428,sympy/sympy,sympy__sympy-20428
